candidate_name_en,candidate_name_ar,candidate_list_en,candidate_list_ar,seat,num_votes,num_votes_list,district,election_year,elected
melhem_khalaf,ملحم اميل خلف,beirut_altagheer,بيروت التغيير,greek_orthodox,7141,32823,beirut_2,2022,TRUE
nuhad_yazbek,نهاد سليم يزبك,beirut_altagheer,بيروت التغيير,anglican,3272,32823,beirut_2,2022,FALSE
hani_alhamdiye,هاني انيس االحمدية,beirut_altagheer,بيروت التغيير,druze,153,32823,beirut_2,2022,FALSE
mahmoud_fakih,محمود كامل فقيه,beirut_altagheer,بيروت التغيير,shia,534,32823,beirut_2,2022,FALSE
ali_abbas,علي كمال عباس,beirut_altagheer,بيروت التغيير,shia,803,32823,beirut_2,2022,FALSE
rushdi_qabbani,رشدي عدنان قباني,beirut_altagheer,بيروت التغيير,sunni,485,32823,beirut_2,2022,FALSE
waddah_alsadek,وضاح ابراهيم صادق الصادق,beirut_altagheer,بيروت التغيير,sunni,3760,32823,beirut_2,2022,TRUE
samah_halwani,سماح حسان حلواني,beirut_altagheer,بيروت التغيير,sunni,235,32823,beirut_2,2022,FALSE
fatima_meshref,فاطمة احمد مشرف,beirut_altagheer,بيروت التغيير,sunni,307,32823,beirut_2,2022,FALSE
ibrahim_mnaimneh,ابراهيم حسن منيمنه,beirut_altagheer,بيروت التغيير,sunni,13281,32823,beirut_2,2022,TRUE
iman_tabbara,ايمان وائل طباره,beirut_altagheer,بيروت التغيير,sunni,1944,32823,beirut_2,2022,FALSE
adel_aldeek,الديك عادل فؤاد,litabqa_beirut,لتبقى بيروت,sunni,447,2387,beirut_2,2022,FALSE
adel_alhalabi,الحلبي عادل سمير,litabqa_beirut,لتبقى بيروت,druze,28,2387,beirut_2,2022,FALSE
muwaffak_alwatar,الوتار موفق خلود,litabqa_beirut,لتبقى بيروت,sunni,166,2387,beirut_2,2022,FALSE
mohamed_itani,عيتاني محمد رشا,litabqa_beirut,لتبقى بيروت,sunni,194,2387,beirut_2,2022,FALSE
mahmoud_merhi,مرعي محمود اياد,litabqa_beirut,لتبقى بيروت,sunni,58,2387,beirut_2,2022,FALSE
dalal_alrahbani,الرحباني حليم دالل,litabqa_beirut,لتبقى بيروت,anglican,49,2387,beirut_2,2022,FALSE
mohamed_shihab,شهاب القادر عبد عيد محمد,litabqa_beirut,لتبقى بيروت,sunni,907,2387,beirut_2,2022,FALSE
najib_saba,سابا نجيب نقوال,litabqa_beirut,لتبقى بيروت,greek_orthodox,249,2387,beirut_2,2022,FALSE
ahmed_khalid,خالد يحي مختار احمد,litabqa_beirut,لتبقى بيروت,sunni,161,2387,beirut_2,2022,FALSE
wiam_dallal,وئام فواز دالل,qadireen,قادرين,druze,38,1797,beirut_2,2022,FALSE
hadi_alhusni,هادي نجيب اديب الحصني,qadireen,قادرين,anglican,72,1797,beirut_2,2022,FALSE
alexei_alhaddad,الكسي جبران الحداد,qadireen,قادرين,greek_orthodox,612,1797,beirut_2,2022,FALSE
shiran_ali,شيران ديده دنيا رضا علي,qadireen,قادرين,shia,91,1797,beirut_2,2022,FALSE
nasir_mohamed,ناصر سهيل محمد,qadireen,قادرين,shia,81,1797,beirut_2,2022,FALSE
omar_sabra,صبره الناصر عبد عمر,qadireen,قادرين,sunni,791,1797,beirut_2,2022,FALSE
yasin_fawaz,ياسين قاسم فواز,nehm_libeirut,نعم لبيروت,shia,111,250,beirut_2,2022,FALSE
ayman_ali,ايمن خضر محمد علي,nehm_libeirut,نعم لبيروت,sunni,53,250,beirut_2,2022,FALSE
naim_alayash,نعيم وديع العياش,nehm_libeirut,نعم لبيروت,druze,10,250,beirut_2,2022,FALSE
samer_ghazi,سامر محمد يحي غازي,nehm_libeirut,نعم لبيروت,sunni,8,250,beirut_2,2022,FALSE
ali_fasai,علي حسن فصاعي,nehm_libeirut,نعم لبيروت,shia,13,250,beirut_2,2022,FALSE
maya_shatila,مايا سعد الدين شاتيال,nehm_libeirut,نعم لبيروت,sunni,31,250,beirut_2,2022,FALSE
maha_alrassi,مها اسعد الراسي,beirut_madinati,بيروت مدينتي,anglican,12,358,beirut_2,2022,FALSE
nahida_khalil,ناهده محمد خليل,beirut_madinati,بيروت مدينتي,shia,66,358,beirut_2,2022,FALSE
rima_abuchakra,ريمه حسيب ابو شقرا,beirut_madinati,بيروت مدينتي,druze,15,358,beirut_2,2022,FALSE
paola_rebeiz,باوال نقوال ربيز,beirut_madinati,بيروت مدينتي,greek_orthodox,97,358,beirut_2,2022,FALSE
sara_yasin,ساره سليم ياسين,beirut_madinati,بيروت مدينتي,sunni,84,358,beirut_2,2022,FALSE
faisal_altamrawi,فيصل محي الدين التمراوي,beirut_madinati,بيروت مدينتي,sunni,25,358,beirut_2,2022,FALSE
fuad_makhzoumi,فؤاد مصطفى مخزومي,lubnan_herzan,لبنان حرزان,sunni,11346,15773,beirut_2,2018,TRUE
essam_barghout,عصام بشير برغوت,lubnan_herzan,لبنان حرزان,sunni,164,15773,beirut_2,2018,FALSE
marouf_itani,معروف محمود عيتاني,lubnan_herzan,لبنان حرزان,sunni,632,15773,beirut_2,2018,FALSE
mahmoud_kreidieh,محمود عبد القادر كريدية,lubnan_herzan,لبنان حرزان,sunni,62,15773,beirut_2,2018,FALSE
saadeddine_khaled,سعد الدين حسن خالد,lubnan_herzan,لبنان حرزان,sunni,572,15773,beirut_2,2018,FALSE
rana_alshmaytalli,رنا محمد سمير الشميطلّي,lubnan_herzan,لبنان حرزان,sunni,169,15773,beirut_2,2018,FALSE
yousef_beydoun,يوسف محمد بيضون,lubnan_herzan,لبنان حرزان,shia,221,15773,beirut_2,2018,FALSE
zeina_munther,زينه كمال منذر,lubnan_herzan,لبنان حرزان,druze,237,15773,beirut_2,2018,FALSE
khalil_broumana,برمانه اميل خليل,lubnan_herzan,لبنان حرزان,greek_orthodox,1369,15773,beirut_2,2018,FALSE
nadim_qusta,نديم قزحيا قسطه,lubnan_herzan,لبنان حرزان,anglican,169,15773,beirut_2,2018,FALSE
ibrahim_aldallal,ابراهيم محمد الحلبي الدلال,sawt_alnas,صوت الناس ,sunni,195,1339,beirut_2,2018,FALSE
hanan_othman,حنان احمد عثمان,sawt_alnas,صوت الناس ,sunni,57,1339,beirut_2,2018,FALSE
rula_alhouri,ُرلى توفيق الحوري,sawt_alnas,صوت الناس ,sunni,54,1339,beirut_2,2018,FALSE
faten_zein,فاتن فيصل زين,sawt_alnas,صوت الناس ,sunni,30,1339,beirut_2,2018,FALSE
firas_mnaimneh,فراس عبد الرحمن منيمنه,sawt_alnas,صوت الناس ,sunni,40,1339,beirut_2,2018,FALSE
yousef_altabash,يوسف عبد القادر الطبش,sawt_alnas,صوت الناس ,sunni,127,1339,beirut_2,2018,FALSE
neimat_badreddine,نعمت هاشم بدر الدين,sawt_alnas,صوت الناس ,shia,153,1339,beirut_2,2018,FALSE
hani_fayyad,هاني رامز فياض,sawt_alnas,صوت الناس ,druze,90,1339,beirut_2,2018,FALSE
omar_wakim,عمر نجاح واكيم,sawt_alnas,صوت الناس ,greek_orthodox,476,1339,beirut_2,2018,FALSE
nabil_alsabali,نبيل رياض السبعلي,sawt_alnas,صوت الناس ,anglican,51,1339,beirut_2,2018,FALSE
